train_acc,train_sensitividade,train_especificidade,train_f1Score,train_loss,validation_acc,validation_sensitividade,validation_especificidade,validation_f1Score,valid_loss
0.5,0.3944954128440367,0.6055045871559633,0.441025641025641,0.7914072805588398,0.5,0.0,1.0,0.0,0.7054596424102784
0.6192660550458715,0.7889908256880734,0.44954128440366975,0.6745098039215687,0.6678382759794182,0.52,0.68,0.36,0.5862068965517241,0.6816225409507751
0.6009174311926605,0.47706422018348627,0.7247706422018348,0.5445026178010473,0.6536768242853497,0.62,0.92,0.32,0.7076923076923077,0.666131603717804
0.6926605504587156,0.7614678899082569,0.6238532110091743,0.7124463519313303,0.6137346729226069,0.58,0.96,0.2,0.6956521739130435,0.6420080304145813
0.7201834862385321,0.7889908256880734,0.6513761467889908,0.738197424892704,0.6125755222565538,0.66,0.4,0.92,0.5405405405405406,0.6316398501396179
0.7614678899082569,0.7981651376146789,0.7247706422018348,0.7699115044247787,0.5545171857427019,0.64,0.4,0.88,0.5263157894736842,0.6321799516677856
0.7614678899082569,0.6880733944954128,0.8348623853211009,0.7425742574257426,0.5490729852553902,0.68,0.8,0.56,0.7142857142857142,0.6090586543083191
0.7522935779816514,0.7981651376146789,0.7064220183486238,0.7631578947368421,0.5386694317017127,0.68,0.72,0.64,0.6923076923076923,0.6015240728855134
0.7844036697247706,0.8256880733944955,0.7431192660550459,0.7929515418502202,0.48780582667490757,0.68,0.56,0.8,0.6363636363636364,0.589785373210907
0.7431192660550459,0.6605504587155964,0.8256880733944955,0.7200000000000001,0.5260205837564731,0.68,0.48,0.88,0.6,0.6219272911548615
0.7339449541284404,0.7706422018348624,0.6972477064220184,0.7433628318584071,0.5155235345757335,0.7,0.72,0.68,0.7058823529411765,0.5944548845291138
0.8119266055045872,0.7981651376146789,0.8256880733944955,0.8093023255813954,0.44303678700683313,0.6,0.8,0.4,0.6666666666666666,0.6264923691749573
0.7706422018348624,0.8532110091743119,0.6880733944954128,0.788135593220339,0.477528936819199,0.6,0.48,0.72,0.5454545454545454,0.6143164277076721
0.8302752293577982,0.8165137614678899,0.8440366972477065,0.827906976744186,0.4306926216007373,0.62,0.52,0.72,0.5777777777777778,0.6169735610485076
0.7981651376146789,0.8440366972477065,0.7522935779816514,0.8070175438596491,0.45588128993270594,0.64,0.56,0.72,0.6086956521739131,0.6102551460266114
0.7110091743119266,0.6697247706422018,0.7522935779816514,0.6985645933014354,0.5208067049127106,0.64,0.32,0.96,0.47058823529411764,0.6887441873550415
0.8119266055045872,0.7798165137614679,0.8440366972477065,0.8056872037914692,0.4116859035481007,0.62,0.88,0.36,0.6984126984126985,0.6335519075393676
0.8073394495412844,0.8623853211009175,0.7522935779816514,0.817391304347826,0.4303886361351801,0.66,0.64,0.68,0.6530612244897959,0.6012438952922821
0.8211009174311926,0.7981651376146789,0.8440366972477065,0.8169014084507041,0.42358349687462554,0.64,0.48,0.8,0.5714285714285713,0.6316302657127381
0.8394495412844036,0.7614678899082569,0.9174311926605505,0.8258706467661693,0.3943564086605649,0.7,0.8,0.6,0.7272727272727272,0.6093435406684875
0.8807339449541285,0.9174311926605505,0.8440366972477065,0.8849557522123894,0.36583773080908927,0.7,0.72,0.68,0.7058823529411765,0.5788756489753724
0.8577981651376146,0.8807339449541285,0.8348623853211009,0.8609865470852017,0.35385468342435467,0.68,0.68,0.68,0.68,0.6175391674041748
0.8577981651376146,0.8256880733944955,0.8899082568807339,0.8530805687203792,0.3509184612866935,0.66,0.64,0.68,0.6530612244897959,0.6285677194595337
0.926605504587156,0.944954128440367,0.908256880733945,0.9279279279279279,0.30371402641501993,0.64,0.56,0.72,0.6086956521739131,0.6331941604614257
0.8899082568807339,0.8899082568807339,0.8899082568807339,0.8899082568807339,0.3259942318321368,0.62,0.52,0.72,0.5777777777777778,0.6887712240219116
0.8440366972477065,0.7981651376146789,0.8899082568807339,0.8365384615384616,0.3717068217763113,0.7,0.76,0.64,0.7169811320754718,0.6454288125038147
0.8486238532110092,0.8990825688073395,0.7981651376146789,0.8558951965065502,0.3582541513333627,0.7,0.72,0.68,0.7058823529411765,0.6264659523963928
0.8853211009174312,0.8623853211009175,0.908256880733945,0.8826291079812206,0.3070905406814103,0.68,0.64,0.72,0.6666666666666666,0.6339624285697937
0.7935779816513762,0.8073394495412844,0.7798165137614679,0.7963800904977376,0.37678345600399404,0.58,0.84,0.32,0.6666666666666667,0.7669861733913421
0.8715596330275229,0.8348623853211009,0.908256880733945,0.8666666666666667,0.32751950074773317,0.74,0.8,0.68,0.7547169811320756,0.630248749256134
