train_acc,train_sensitividade,train_especificidade,train_f1Score,train_loss,validation_acc,validation_sensitividade,validation_especificidade,validation_f1Score,valid_loss
0.5642201834862385,0.6422018348623854,0.48623853211009177,0.5957446808510639,0.7793683974294487,0.5,1.0,0.0,0.6666666666666666,0.7410119056701661
0.8256880733944955,0.8165137614678899,0.8348623853211009,0.8240740740740741,0.5190625469618981,0.6,0.76,0.44,0.6551724137931034,0.6628146052360535
0.8532110091743119,0.8532110091743119,0.8532110091743119,0.8532110091743119,0.36251446180934205,0.62,0.96,0.28,0.7164179104477612,0.7736778736114502
0.9541284403669725,0.963302752293578,0.944954128440367,0.9545454545454546,0.2153716376478519,0.66,0.56,0.76,0.6222222222222222,0.6009442865848541
0.9678899082568807,0.9541284403669725,0.981651376146789,0.9674418604651164,0.14857135706265037,0.58,0.72,0.44,0.631578947368421,0.6886314749717712
0.9954128440366973,0.9908256880733946,1.0,0.9953917050691244,0.08767413259099383,0.64,0.84,0.44,0.7000000000000001,0.7422004520893097
1.0,1.0,1.0,1.0,0.04520078428909866,0.62,0.8,0.44,0.6779661016949153,0.7534317955374717
1.0,1.0,1.0,1.0,0.02906158666442567,0.66,0.88,0.44,0.7213114754098361,0.9045903801918029
1.0,1.0,1.0,1.0,0.020639544634849107,0.6,0.76,0.44,0.6551724137931034,0.8018231630325318
1.0,1.0,1.0,1.0,0.014108870494598096,0.6,0.76,0.44,0.6551724137931034,0.8824383020401001
1.0,1.0,1.0,1.0,0.010439739101181884,0.6,0.76,0.44,0.6551724137931034,0.9426555812358857
1.0,1.0,1.0,1.0,0.008053900509508789,0.6,0.76,0.44,0.6551724137931034,0.9220387935638428
1.0,1.0,1.0,1.0,0.00658032743456782,0.6,0.76,0.44,0.6551724137931034,0.9938901543617249
1.0,1.0,1.0,1.0,0.00524442065977107,0.6,0.76,0.44,0.6551724137931034,0.9807031631469727
1.0,1.0,1.0,1.0,0.004332241155805254,0.6,0.76,0.44,0.6551724137931034,0.9965529680252075
1.0,1.0,1.0,1.0,0.003821515706752282,0.64,0.84,0.44,0.7000000000000001,1.1025982618331909
1.0,1.0,1.0,1.0,0.003176344806379681,0.6,0.76,0.44,0.6551724137931034,1.0487846434116364
1.0,1.0,1.0,1.0,0.002701349530813344,0.6,0.76,0.44,0.6551724137931034,1.0515394687652588
1.0,1.0,1.0,1.0,0.002341534467114973,0.6,0.76,0.44,0.6551724137931034,1.0739619851112365
1.0,1.0,1.0,1.0,0.002038224273438164,0.6,0.76,0.44,0.6551724137931034,1.0818386852741242
1.0,1.0,1.0,1.0,0.0017649373648380604,0.6,0.76,0.44,0.6551724137931034,1.1319778919219972
1.0,1.0,1.0,1.0,0.0015503541735180338,0.6,0.76,0.44,0.6551724137931034,1.1225771188735962
1.0,1.0,1.0,1.0,0.001387721560404149,0.6,0.76,0.44,0.6551724137931034,1.1723027586936952
1.0,1.0,1.0,1.0,0.0012702791024546284,0.6,0.76,0.44,0.6551724137931034,1.1143980026245117
1.0,1.0,1.0,1.0,0.0011363432560022066,0.6,0.76,0.44,0.6551724137931034,1.1744983673095704
1.0,1.0,1.0,1.0,0.001013322963503215,0.6,0.76,0.44,0.6551724137931034,1.2038597464561462
1.0,1.0,1.0,1.0,0.000895182750563761,0.6,0.76,0.44,0.6551724137931034,1.1995948255062103
1.0,1.0,1.0,1.0,0.0008092373897911075,0.6,0.76,0.44,0.6551724137931034,1.1977020084857941
1.0,1.0,1.0,1.0,0.0007323000274081672,0.6,0.76,0.44,0.6551724137931034,1.223327213525772
1.0,1.0,1.0,1.0,0.00066711936640519,0.6,0.76,0.44,0.6551724137931034,1.219690728187561
